name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Brandon Austin,GK,Spurs,0,0,0,0,0,0,451,0,0,0,0,15,0,0,0,0,2022-08-14T15:30:00Z,0,0,0,0,0,2,0,31728,0,2,2,0,0,-400,1183,1583,40,FALSE,0,Chelsea
Luka Milivojevic,MID,Crystal Palace,0,0,0,1,0,0,158,0,0,0,0,16,0,0,0,0.2,2022-08-15T19:00:00Z,11,0,0,0,0,2,0,63529,0,1,1,0,1,651,6085,5434,45,FALSE,0,Liverpool
Wesley Fofana,DEF,Leicester,-0.5,0,0,7,0,1.1,272,0,0,0,0,11,4,0,4,21.4,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,154919,0,2,4,17,-1,-2341,12033,14374,45,FALSE,1,Arsenal
Gianluca Scamacca,FWD,West Ham,1.5,0,0,2,0,1.1,529,0,0,0,0,18,0,0,1.6,0,2022-08-14T13:00:00Z,21,0,0,0,0,2,0,94375,0,0,1,16,1,-13835,10658,24493,70,FALSE,0,Nott'm Forest
Alisson,GK,Liverpool,2.5,0,0,12,0,0,281,0,0,0,0,16,1,0,1.7,16.8,2022-08-15T19:00:00Z,90,0,0,0,0,2,2,1646148,0,1,1,0,2,-90298,36501,126799,55,TRUE,0,Crystal Palace
Che Adams,FWD,Southampton,1.5,0,0,6,0,13.5,411,0,0,0,0,19,2,0,2.2,5.2,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,53680,0,2,2,3,2,-13044,2626,15670,64,TRUE,0,Leeds
Sam Greenwood,FWD,Leeds,0,0,0,0,0,0,237,0,0,0,0,19,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,1980410,0,2,2,0,0,-49959,83079,133038,45,FALSE,0,Southampton
Nathaniel Chalobah,MID,Fulham,-0.5,0,0,0,0,0,203,0,0,0,0,20,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,11828,0,0,0,0,0,-1639,738,2377,45,FALSE,0,Wolves
Nathaniel Phillips,DEF,Liverpool,2,0,0,14,0,1.4,501,0,0,0,0,16,1,0,3.4,15,2022-08-15T19:00:00Z,62,0,0,0,0,2,0,23010,0,1,1,18,2,-1038,1694,2732,40,TRUE,0,Crystal Palace
Loïc Mbe Soh,DEF,Nott'm Forest,-0.5,0,0,0,0,0,393,0,0,0,0,18,0,0,0,0,2022-08-14T13:00:00Z,0,0,0,0,0,2,0,3990,0,0,1,0,0,-652,35,687,45,TRUE,0,West Ham
Jason Steele,GK,Brighton,0,0,0,0,0,0,102,0,0,0,0,14,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,83386,0,0,0,0,0,-48,3011,3059,40,TRUE,0,Newcastle
Tosin Adarabioyo,DEF,Fulham,3,0,0,24,1,0.4,209,0,0,0,0,20,0,0,1,9.4,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,7506,0,0,0,0,6,-288,421,709,45,FALSE,0,Wolves
Kalvin Phillips,MID,Man City,0,0,0,0,0,0,325,0,0,0,0,17,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,43471,0,0,4,0,0,-8322,3038,11360,50,TRUE,0,Bournemouth
Cafú,MID,Nott'm Forest,0,0,0,3,0,0.1,383,0,0,0,0,18,0,0,0.3,2.4,2022-08-14T13:00:00Z,6,0,0,0,0,2,0,41790,0,0,1,0,1,-3542,1833,5375,45,TRUE,0,West Ham
Marek Rodák,GK,Fulham,3,0,0,22,1,0,213,0,0,0,0,20,0,0,0.9,8.8,2022-08-13T14:00:00Z,90,0,0,0,0,2,1,18003,0,0,0,0,6,693,2335,1642,45,FALSE,0,Wolves
Ryan Fraser,MID,Newcastle,0.5,0,0,0,0,0,359,0,0,0,0,14,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,14314,0,0,0,0,0,-2368,676,3044,55,FALSE,0,Brighton
Luke Thomas,DEF,Leicester,-0.5,0,0,0,0,0,270,0,0,0,0,11,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,8787,0,2,4,0,0,-1003,191,1194,45,FALSE,0,Arsenal
Karl Darlow,GK,Newcastle,0,0,0,0,0,0,353,0,0,0,0,14,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,240368,0,0,0,0,0,-6155,3782,9937,40,FALSE,0,Brighton
Rodri,MID,Man City,4.5,0,0,9,1,13.3,315,0,0,0,0,17,0,0,3,9.4,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,253733,0,0,4,7,3,-10733,23986,34719,60,TRUE,0,Bournemouth
Cristiano Ronaldo,FWD,Man Utd,2,0,0,2,0,35.6,326,0,0,0,0,13,4,0,6.9,7.8,2022-08-13T16:30:00Z,90,0,0,0,0,2,0,414347,0,0,4,26,2,-43311,32101,75412,105,FALSE,0,Brentford
